# Calibrated: NO
timestamp,lat,lon,hdop,fix_type,em_fog,rssi_815,rssi_868,rssi_915
17.80,56.3397053,-2.7891983,1.2,3,8.6,-91.5,-94.0,-102.0
17.90,56.3397043,-2.7892012,1.2,3,10.8,-91.5,-94.0,-92.0
18.00,56.3397032,-2.7892033,1.2,3,10.8,-91.5,-94.0,-92.0
18.10,56.3397022,-2.7892047,1.2,3,10.8,-91.5,-94.0,-92.0
18.20,56.3397010,-2.7892047,1.2,3,10.8,-91.5,-94.0,-92.0
18.30,56.3396997,-2.7892057,1.2,3,10.8,-91.5,-94.0,-92.0
18.40,56.3396988,-2.7892070,1.2,3,10.8,-91.5,-94.0,-92.0
18.50,56.3396975,-2.7892075,1.2,3,11.9,-91.5,-91.5,-92.0
18.60,56.3396965,-2.7892083,1.2,3,11.9,-91.5,-91.5,-92.0
18.70,56.3396953,-2.7892093,1.2,3,11.9,-91.5,-91.5,-92.0
18.80,56.3396943,-2.7892100,1.2,3,12.1,-91.5,-91.5,-91.5
18.90,56.3396933,-2.7892107,1.2,3,12.1,-91.5,-91.5,-91.5
19.00,56.3396923,-2.7892110,1.2,3,12.1,-91.5,-91.5,-91.5
19.10,56.3396912,-2.7892118,1.2,3,12.1,-91.5,-91.5,-91.5
19.20,56.3396902,-2.7892132,1.2,3,11.7,-92.5,-91.5,-91.5
19.30,56.3396893,-2.7892155,1.2,3,11.7,-92.5,-91.5,-91.5
19.40,56.3396882,-2.7892157,1.2,3,11.7,-92.5,-91.5,-91.5
19.50,56.3396872,-2.7892170,1.2,3,11.4,-92.5,-92.0,-91.5
19.60,56.3396863,-2.7892178,1.2,3,11.4,-92.5,-92.0,-91.5
19.70,56.3396855,-2.7892190,1.2,3,11.4,-92.5,-92.0,-91.5
19.80,56.3396848,-2.7892198,1.2,3,11.2,-92.5,-92.0,-92.0
19.90,56.3396842,-2.7892212,1.2,3,11.2,-92.5,-92.0,-92.0
20.00,56.3396833,-2.7892225,1.2,3,11.2,-92.5,-92.0,-92.0
20.10,56.3396827,-2.7892233,1.2,3,11.0,-93.0,-92.0,-92.0
