timestamp,tick,gsr_raw
2026-06-30T23:26:16Z,0,6538.8
2026-06-30T23:26:16Z,1,6540.1
2026-06-30T23:26:16Z,2,6548.4
2026-06-30T23:26:17Z,3,6563.3
2026-06-30T23:26:17Z,4,6578.1
2026-06-30T23:26:17Z,5,6589.9
2026-06-30T23:26:17Z,6,6611.6
2026-06-30T23:26:17Z,7,6633.9
2026-06-30T23:26:17Z,8,6652.7
2026-06-30T23:26:17Z,9,6670.6
2026-06-30T23:26:17Z,0,6685.5
2026-06-30T23:26:17Z,1,6693.6
2026-06-30T23:26:17Z,2,6689.6
2026-06-30T23:26:18Z,3,6677.9
2026-06-30T23:26:18Z,4,6671.4
2026-06-30T23:26:18Z,5,6666.5
2026-06-30T23:26:18Z,6,6660.1
2026-06-30T23:26:18Z,7,6654.4
2026-06-30T23:26:18Z,8,6649.8
2026-06-30T23:26:18Z,9,6644.5
2026-06-30T23:26:18Z,0,6635.0
2026-06-30T23:26:18Z,1,6620.8
2026-06-30T23:26:18Z,2,6611.0
2026-06-30T23:26:19Z,3,6605.9
2026-06-30T23:26:19Z,4,6598.8
2026-06-30T23:26:19Z,5,6596.6
2026-06-30T23:26:19Z,6,6597.1
2026-06-30T23:26:19Z,7,6592.5
2026-06-30T23:26:19Z,8,6575.8
2026-06-30T23:26:19Z,9,6565.8
2026-06-30T23:26:19Z,0,6560.3
2026-06-30T23:26:19Z,1,6554.3
2026-06-30T23:26:19Z,2,6559.6
2026-06-30T23:26:20Z,3,6576.5
2026-06-30T23:26:20Z,4,6599.5
2026-06-30T23:26:20Z,5,6626.0
2026-06-30T23:26:20Z,6,6657.0
2026-06-30T23:26:20Z,7,6709.8
2026-06-30T23:26:20Z,8,6783.9
2026-06-30T23:26:20Z,9,6869.1
2026-06-30T23:26:20Z,0,6970.8
2026-06-30T23:26:20Z,1,7084.3
2026-06-30T23:26:20Z,2,7202.2
2026-06-30T23:26:21Z,3,7307.1
2026-06-30T23:26:21Z,4,7410.3
2026-06-30T23:26:21Z,5,7520.0
2026-06-30T23:26:21Z,6,7620.4
2026-06-30T23:26:21Z,7,7711.5
2026-06-30T23:26:21Z,8,7791.6
2026-06-30T23:26:21Z,9,7853.4
2026-06-30T23:26:21Z,0,7882.0
2026-06-30T23:26:21Z,1,7900.2
2026-06-30T23:26:21Z,2,7932.7
2026-06-30T23:26:22Z,3,7953.1
2026-06-30T23:26:22Z,4,7968.0
2026-06-30T23:26:22Z,5,7984.8
2026-06-30T23:26:22Z,6,7975.1
2026-06-30T23:26:22Z,7,7924.3
2026-06-30T23:26:22Z,8,7856.2
2026-06-30T23:26:22Z,9,7796.1
2026-06-30T23:26:22Z,0,7742.1
2026-06-30T23:26:22Z,1,7678.8
2026-06-30T23:26:22Z,2,7624.3
2026-06-30T23:26:23Z,3,7580.2
2026-06-30T23:26:23Z,4,7524.8
2026-06-30T23:26:23Z,5,7459.1
2026-06-30T23:26:23Z,6,7426.1
2026-06-30T23:26:23Z,7,7419.6
2026-06-30T23:26:23Z,8,7427.4
2026-06-30T23:26:23Z,9,7437.2
2026-06-30T23:26:23Z,0,7451.5
2026-06-30T23:26:23Z,1,7468.7
2026-06-30T23:26:23Z,2,7472.8
2026-06-30T23:26:24Z,3,7480.8
2026-06-30T23:26:24Z,4,7506.9
2026-06-30T23:26:24Z,5,7526.8
2026-06-30T23:26:24Z,6,7545.6
2026-06-30T23:26:24Z,7,7563.8
2026-06-30T23:26:24Z,8,7577.1
2026-06-30T23:26:24Z,9,7575.8
2026-06-30T23:26:24Z,0,7556.5
2026-06-30T23:26:24Z,1,7539.9
2026-06-30T23:26:24Z,2,7523.8
2026-06-30T23:26:25Z,3,7496.9
2026-06-30T23:26:25Z,4,7466.6
2026-06-30T23:26:25Z,5,7432.8
2026-06-30T23:26:25Z,6,7395.0
2026-06-30T23:26:25Z,7,7346.0
2026-06-30T23:26:25Z,8,7291.6
2026-06-30T23:26:25Z,9,7250.9
2026-06-30T23:26:25Z,0,7214.2
2026-06-30T23:26:25Z,1,7176.3
2026-06-30T23:26:25Z,2,7143.9
2026-06-30T23:26:26Z,3,7110.7
2026-06-30T23:26:26Z,4,7073.3
2026-06-30T23:26:26Z,5,7028.8
2026-06-30T23:26:26Z,6,6988.4
2026-06-30T23:26:26Z,7,6957.4
2026-06-30T23:26:26Z,8,6928.2
2026-06-30T23:26:26Z,9,6902.1
2026-06-30T23:26:26Z,0,6878.6
2026-06-30T23:26:26Z,1,6856.8
2026-06-30T23:26:26Z,2,6830.5
2026-06-30T23:26:27Z,3,6794.0
2026-06-30T23:26:27Z,4,6768.0
2026-06-30T23:26:27Z,5,6748.5
2026-06-30T23:26:27Z,6,6728.7
2026-06-30T23:26:27Z,7,6711.7
2026-06-30T23:26:27Z,8,6696.4
2026-06-30T23:26:27Z,9,6681.1
2026-06-30T23:26:27Z,0,6660.6
2026-06-30T23:26:27Z,1,6631.5
2026-06-30T23:26:27Z,2,6612.9
2026-06-30T23:26:28Z,3,6599.1
2026-06-30T23:26:28Z,4,6583.2
2026-06-30T23:26:28Z,5,6569.7
2026-06-30T23:26:28Z,6,6558.4
2026-06-30T23:26:28Z,7,6545.8
2026-06-30T23:26:28Z,8,6526.0
2026-06-30T23:26:28Z,9,6502.8
2026-06-30T23:26:28Z,0,6492.4
2026-06-30T23:26:28Z,1,6479.9
2026-06-30T23:26:28Z,2,6467.1
2026-06-30T23:26:29Z,3,6457.1
2026-06-30T23:26:29Z,4,6445.3
2026-06-30T23:26:29Z,5,6429.2
2026-06-30T23:26:29Z,6,6411.3
2026-06-30T23:26:29Z,7,6392.9
2026-06-30T23:26:29Z,8,6385.8
2026-06-30T23:26:29Z,9,6379.0
2026-06-30T23:26:29Z,0,6370.0
2026-06-30T23:26:29Z,1,6364.3
2026-06-30T23:26:29Z,2,6358.1
2026-06-30T23:26:30Z,3,6350.7
2026-06-30T23:26:30Z,4,6332.3
