# RecordingStartTime:1785503000
timestamp,lat,lon,hdop,pdop,sats,fix_type,speed_kts,course_deg,gsr_raw,hacc_m,rssi_815,rssi_868,rssi_915
106.80,55.9538523,-3.1916705,2.9,18.8,12,3,2.43,245.0,8523.6,3.6,-60.5,-102.0,-102.5
106.90,55.9538535,-3.1916728,2.9,18.8,12,3,2.47,246.5,8532.1,3.6,-60.5,-102.0,-102.5
107.00,55.9538535,-3.1916753,2.9,18.8,12,3,2.60,247.7,8508.8,3.6,-60.5,-102.0,-102.5
107.10,55.9538542,-3.1916785,2.9,18.8,12,3,2.83,250.1,8437.7,3.6,-60.5,-102.0,-102.5
107.20,55.9538537,-3.1916805,2.9,18.8,6,3,3.15,243.4,8396.9,3.6,-60.5,-102.0,-102.5
107.30,55.9538523,-3.1916840,2.9,18.8,12,3,3.09,242.7,8376.0,3.6,-60.5,-102.0,-102.5
107.40,55.9538527,-3.1916863,2.9,18.8,12,3,2.38,243.3,8365.6,3.6,-60.5,-102.0,-102.5
107.50,55.9538527,-3.1916863,2.9,18.8,12,3,2.38,243.3,8378.5,3.5,-60.5,-102.0,-102.5
107.60,55.9538528,-3.1916918,2.9,18.8,12,3,2.62,249.0,8344.3,3.5,-60.5,-102.0,-102.5
107.70,55.9538542,-3.1916942,2.9,18.8,12,3,2.81,248.0,8285.4,3.5,-60.5,-102.0,-102.5
107.80,55.9538533,-3.1916962,2.9,18.8,12,3,2.71,243.8,8240.2,3.5,-60.5,-102.0,-102.5
107.90,55.9538545,-3.1916988,2.9,18.8,12,3,2.50,246.2,8235.1,3.5,-60.5,-102.0,-102.5
108.00,55.9538542,-3.1917010,2.9,18.8,12,3,2.28,247.0,8240.4,3.5,-60.5,-102.0,-102.5
108.10,55.9538540,-3.1917025,2.9,18.8,12,3,2.22,244.5,8233.9,3.5,-60.5,-102.0,-102.5
108.20,55.9538547,-3.1917052,2.9,18.8,12,3,3.01,244.6,8184.2,3.5,-60.5,-102.0,-102.5
108.30,55.9538570,-3.1917075,2.9,18.8,12,3,3.26,245.0,8148.9,3.5,-60.5,-102.0,-102.5
108.40,55.9538550,-3.1917095,2.9,18.8,12,3,2.93,242.1,8143.8,3.5,-60.5,-102.0,-102.5
108.50,55.9538550,-3.1917095,2.9,18.8,12,3,2.93,242.1,8166.3,3.5,-60.5,-102.0,-102.5
108.60,55.9538553,-3.1917112,2.9,18.8,12,3,2.09,242.5,8183.3,3.5,-60.5,-102.0,-102.5
108.70,55.9538547,-3.1917160,2.9,18.8,12,3,2.74,244.0,8199.4,3.5,-60.5,-102.0,-102.5
108.80,55.9538560,-3.1917193,2.9,18.8,12,3,3.01,248.2,8169.2,3.5,-60.5,-102.0,-102.5
108.90,55.9538560,-3.1917193,2.9,18.7,12,3,3.01,248.2,8148.4,3.5,-60.5,-102.0,-102.5
109.00,55.9538582,-3.1917242,2.9,18.7,6,3,2.65,251.3,8159.7,3.5,-60.5,-102.0,-102.5
109.10,55.9538575,-3.1917252,2.9,18.7,12,3,1.63,253.6,8211.1,3.5,-60.5,-102.0,-102.5
109.20,55.9538595,-3.1917275,2.9,18.7,12,3,2.16,258.8,8272.5,3.5,-60.5,-102.0,-102.5
109.30,55.9538605,-3.1917297,2.9,18.7,12,3,2.12,262.6,8281.7,3.5,-83.5,-102.0,-102.5
109.40,55.9538602,-3.1917318,2.9,18.7,12,3,2.72,255.8,8255.6,3.5,-78.5,-102.0,-102.5
109.50,55.9538602,-3.1917318,2.9,18.7,12,3,2.72,255.8,8261.9,3.5,-78.5,-102.0,-102.5
109.60,55.9538608,-3.1917382,2.9,18.7,12,3,2.88,263.4,8277.2,3.5,-78.5,-102.0,-102.5
109.70,55.9538622,-3.1917387,2.9,18.7,13,3,2.24,256.4,8303.6,3.4,-74.0,-102.0,-102.5
109.80,55.9538608,-3.1917408,2.9,18.7,13,3,2.14,251.9,8337.0,3.4,-74.0,-102.0,-102.5
109.90,55.9538615,-3.1917432,2.9,18.7,13,3,2.37,252.6,8323.8,3.4,-74.0,-102.0,-102.5
110.00,55.9538628,-3.1917450,2.9,18.7,13,3,2.27,253.5,8293.2,3.4,-72.5,-102.0,-102.5
110.10,55.9538630,-3.1917467,2.9,18.7,13,3,2.62,247.4,8267.0,3.4,-72.5,-102.0,-102.5
110.20,55.9538613,-3.1917482,2.9,18.7,13,3,2.52,241.6,8279.8,3.4,-72.5,-102.0,-102.5
110.30,55.9538647,-3.1917498,2.9,18.7,13,3,1.89,242.9,8294.3,3.4,-72.5,-102.0,-102.5
110.40,55.9538668,-3.1917527,2.9,18.7,13,3,2.17,259.2,8291.9,3.4,-70.5,-102.0,-102.5
110.50,55.9538668,-3.1917527,2.9,18.7,13,3,2.17,259.2,8266.3,3.4,-70.5,-102.0,-102.5
110.60,55.9538697,-3.1917562,2.9,18.7,13,3,1.99,266.0,8244.0,3.4,-70.5,-102.0,-102.5
110.70,55.9538688,-3.1917575,2.9,18.7,14,3,2.12,257.5,8245.0,3.4,-70.0,-102.0,-102.5
110.80,55.9538707,-3.1917583,2.9,18.7,14,3,1.22,259.6,8254.6,3.4,-70.0,-102.0,-102.5
110.90,55.9538683,-3.1917587,2.9,18.7,14,3,1.36,248.7,8283.6,3.4,-70.0,-102.0,-102.5
111.00,55.9538687,-3.1917588,2.9,18.7,6,3,1.67,242.5,8276.0,3.3,-70.0,-102.0,-102.5
111.10,55.9538688,-3.1917597,2.9,18.7,14,3,1.60,261.3,8283.3,3.3,-70.0,-102.0,-102.5
111.20,55.9538648,-3.1917593,2.9,18.7,14,3,1.83,254.8,8277.1,3.3,-70.0,-102.0,-102.5
111.30,55.9538630,-3.1917578,2.9,18.7,14,3,1.71,243.2,8231.7,3.3,-70.0,-102.0,-102.5
111.40,55.9538580,-3.1917572,2.9,18.7,14,3,1.98,244.9,8256.5,3.2,-70.0,-102.0,-102.5
111.50,55.9538580,-3.1917572,2.9,18.7,14,3,1.98,244.9,8290.2,3.2,-70.0,-102.0,-102.5
111.60,55.9538548,-3.1917560,2.8,18.7,14,3,1.65,251.3,8315.3,3.2,-70.0,-102.0,-102.5
111.70,55.9538477,-3.1917548,2.8,18.7,14,3,2.59,238.9,8310.7,3.2,-70.0,-102.0,-102.5
111.80,55.9538452,-3.1917548,2.8,18.7,14,3,3.02,239.0,8291.3,3.1,-70.0,-102.0,-102.5
111.90,55.9538418,-3.1917550,2.8,18.7,14,3,2.77,242.1,8283.7,3.1,-70.0,-102.0,-102.5
112.00,55.9538418,-3.1917550,2.8,18.7,14,3,2.77,242.1,8284.7,3.1,-70.0,-102.0,-102.5
112.10,55.9538335,-3.1917542,2.8,18.7,14,3,2.74,240.4,8319.3,3.0,-70.0,-102.0,-102.5
112.20,55.9538298,-3.1917528,2.8,18.7,14,3,2.01,235.7,8361.5,3.0,-70.0,-102.0,-102.5
112.30,55.9538272,-3.1917517,2.8,18.7,14,3,1.62,238.6,8401.6,3.0,-70.0,-102.0,-102.5
112.40,55.9538232,-3.1917510,2.8,18.7,14,3,2.04,238.8,8437.3,2.9,-70.0,-103.0,-102.5
112.50,55.9538232,-3.1917510,2.8,18.7,14,3,2.04,238.8,8437.7,2.9,-70.0,-102.5,-102.5
112.60,55.9538165,-3.1917508,2.8,18.7,14,3,2.64,235.4,8422.3,2.9,-70.0,-102.5,-102.5
112.70,55.9538047,-3.1917497,2.8,18.7,16,3,2.77,231.3,8426.4,2.8,-70.0,-102.5,-102.5
112.80,55.9537998,-3.1917492,2.8,18.7,16,3,2.39,235.5,8465.7,2.7,-70.0,-102.0,-102.5
112.90,55.9537947,-3.1917490,2.8,18.7,16,3,2.43,232.1,8519.4,2.7,-70.0,-102.0,-102.5
113.00,55.9537923,-3.1917480,2.8,18.7,16,3,1.96,230.7,8566.0,2.6,-70.0,-102.0,-102.5
113.10,55.9537923,-3.1917480,2.8,18.7,16,3,1.96,230.7,8656.8,2.6,-70.0,-102.0,-102.5
113.20,55.9537885,-3.1917477,2.7,15.3,16,3,1.87,231.3,8727.5,2.5,-70.0,-102.0,-102.5
113.30,55.9537847,-3.1917482,2.7,15.3,16,3,2.36,236.2,8801.5,2.5,-70.0,-102.0,-102.5
113.40,55.9537788,-3.1917497,2.7,15.3,16,3,2.54,231.4,8752.2,2.4,-70.0,-102.0,-102.5
113.50,55.9537788,-3.1917497,2.7,15.3,16,3,2.54,231.4,8677.7,2.4,-70.0,-102.0,-102.5
113.60,55.9537780,-3.1917500,2.7,15.3,16,3,2.22,231.1,8638.7,2.4,-70.0,-102.0,-102.5
113.70,55.9537772,-3.1917515,2.7,15.3,16,3,2.47,229.8,8615.4,2.3,-70.0,-102.0,-102.5
113.80,55.9537745,-3.1917520,2.7,3.9,16,3,2.28,226.9,8586.8,2.3,-70.0,-102.0,-102.5
113.90,55.9537708,-3.1917540,2.7,3.9,16,3,2.80,227.2,8575.7,2.2,-70.0,-102.0,-102.5
114.00,55.9537708,-3.1917540,2.7,3.9,16,3,2.80,227.2,8610.7,2.2,-70.0,-102.0,-102.5
114.10,55.9537682,-3.1917558,2.7,3.9,16,3,2.98,230.7,8617.7,2.2,-70.0,-102.0,-102.5
114.20,55.9537688,-3.1917573,2.7,3.9,16,3,2.04,233.6,8618.3,2.2,-70.0,-102.0,-102.5
114.30,55.9537688,-3.1917573,2.7,3.9,16,3,2.04,233.6,8653.3,2.1,-70.0,-102.0,-102.5
114.40,55.9537680,-3.1917588,2.7,3.9,16,3,1.53,228.9,8666.9,2.1,-70.0,-102.0,-102.5
114.50,55.9537680,-3.1917588,2.7,3.9,16,3,1.53,228.9,8671.9,2.1,-70.0,-102.0,-102.5
114.60,55.9537663,-3.1917607,2.7,3.9,16,3,2.24,234.6,8694.5,2.1,-70.0,-102.0,-102.5
114.70,55.9537643,-3.1917627,2.8,4.3,16,3,2.67,229.1,8709.4,2.0,-70.0,-102.0,-102.5
114.80,55.9537657,-3.1917625,2.8,4.3,16,3,1.84,227.2,8725.7,2.0,-70.0,-102.0,-102.5
114.90,55.9537642,-3.1917645,2.8,4.3,16,3,2.14,228.6,8774.7,2.0,-70.0,-102.0,-102.5
115.00,55.9537623,-3.1917657,2.8,4.3,16,3,2.27,223.2,8815.3,2.0,-70.0,-102.0,-102.5
115.10,55.9537623,-3.1917657,2.8,4.3,16,3,2.27,223.2,8841.4,2.0,-70.0,-102.0,-102.5
115.20,55.9537637,-3.1917657,2.8,4.3,16,3,1.63,224.5,8885.3,2.0,-70.0,-102.0,-102.5
115.30,55.9537633,-3.1917668,2.8,4.3,16,3,1.89,234.0,8892.8,1.9,-70.0,-102.0,-102.5
115.40,55.9537610,-3.1917667,2.8,4.3,16,3,1.02,216.0,8886.8,1.9,-70.0,-102.0,-103.0
115.50,55.9537610,-3.1917667,2.8,4.3,16,3,1.02,216.0,8913.1,1.9,-70.0,-102.0,-102.5
115.60,55.9537595,-3.1917670,2.7,3.9,16,3,1.12,219.0,8907.3,1.9,-70.0,-102.0,-102.5
115.70,55.9537593,-3.1917675,2.7,3.9,17,3,1.09,222.6,8895.4,1.9,-70.0,-102.0,-102.5
115.80,55.9537598,-3.1917673,2.7,3.9,17,3,0.75,224.4,8891.8,1.9,-70.0,-102.0,-102.5
115.90,55.9537610,-3.1917665,2.7,3.9,17,3,,,8873.1,1.9,-70.0,-102.0,-102.5
116.00,55.9537610,-3.1917665,2.7,3.9,17,3,,,8841.6,1.9,-70.0,-102.0,-102.5
116.10,55.9537608,-3.1917660,2.7,3.9,17,3,,,8862.1,1.9,-70.0,-102.0,-102.5
116.20,55.9537593,-3.1917645,2.7,3.9,17,3,,,8857.4,1.8,-70.0,-102.0,-102.5
116.30,55.9537593,-3.1917645,2.7,3.9,17,3,,,8839.5,1.8,-70.0,-102.0,-102.5
116.40,55.9537577,-3.1917645,2.7,3.9,17,3,0.51,214.0,8824.5,1.8,-70.0,-102.0,-102.5
116.50,55.9537573,-3.1917635,2.7,3.9,17,3,,,8793.7,1.8,-70.0,-102.0,-102.5
